lowest,highest,proj_date,projected_balance,bills
false,false,2025-06-02,7413.25,"[{""id"":""907be768-80af-47ac-9f4c-9d8d66727498"",""name"":""Garner June Rent"",""note"":"""",""owner"":""Both"",""amount"":-2890,""category"":""house"",""end_date"":null,""frequency"":""one-time"",""start_date"":""2025-06-02"",""repeats_every"":1},{""id"":""c1d0d648-9c7b-4026-809b-14a7fa6686c1"",""name"":""Hanover June Rent Fees"",""note"":"""",""owner"":""Both"",""amount"":-163,""category"":""house"",""end_date"":null,""frequency"":""one-time"",""start_date"":""2025-06-02"",""repeats_every"":1},{""id"":""2a97f478-82fe-42f0-a006-eeb78bc64243"",""name"":""Hanover June Rent"",""note"":"""",""owner"":""Both"",""amount"":-3103,""category"":""house"",""end_date"":null,""frequency"":""one-time"",""start_date"":""2025-06-02"",""repeats_every"":1},{""id"":""9faec26d-2932-4215-8546-1f07c6a12f36"",""name"":""Savings Transfer"",""note"":"""",""owner"":""Both"",""amount"":-778.84,""category"":""transfer"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-03-31"",""repeats_every"":1}]"
false,false,2025-08-31,3777.26,[]
false,false,2025-06-10,6303.77,[]
false,false,2025-06-14,5314.84,[]
false,false,2025-06-22,4325.91,[]
false,false,2025-06-30,3216.43,[]
false,false,2025-07-04,-2304.49,[]
false,false,2025-09-04,-2696.7,"[{""id"":""2abe2811-0ef7-4ec1-8706-4da9f0407a37"",""name"":""Acorns"",""note"":""Savings, this is the average over 6 months"",""owner"":""Both"",""amount"":-53.65,""category"":""transfer"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-04"",""repeats_every"":1},{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-06-06,6424.32,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1}]"
false,false,2025-06-18,5214.84,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-09-01,3777.26,[]
false,false,2025-06-04,7313.25,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-06-08,6424.32,[]
false,false,2025-09-06,-3591.69,[]
false,false,2025-06-05,7224.32,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-06-09,6303.77,"[{""id"":""e31a4c58-c69f-4a1b-9db0-32ab1ca4c2bf"",""name"":""Alma"",""note"":"""",""owner"":""Jenny"",""amount"":-120.55,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-06-09"",""repeats_every"":2}]"
false,false,2025-09-03,-2554.12,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-09-07,-3591.69,[]
false,false,2025-06-13,5314.84,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1}]"
false,false,2025-06-17,5314.84,[]
false,false,2025-06-21,4325.91,[]
false,false,2025-06-25,4105.36,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-06-29,3216.43,[]
